scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.01958975e+04,2.22979170e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.45173589e+04,2.48787835e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.97635144e+04,2.76989002e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.61322276e+04,3.05241248e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.38637001e+04,3.28149521e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,5.32495313e+04,3.34901808e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,6.46437163e+04,3.39931270e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,7.84759970e+04,3.43186267e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,9.52680703e+04,3.42705721e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.15653264e+05,3.39108087e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.40400425e+05,3.32103101e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.70442913e+05,3.22930293e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.06913808e+05,3.14206550e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.51188643e+05,3.05225767e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.04937283e+05,2.94391555e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.70186906e+05,2.84382272e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.49398459e+05,2.75806234e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,5.45559478e+05,2.65757607e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,6.62296762e+05,2.54669893e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,8.04013161e+05,2.44818397e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,9.76053637e+05,2.33990278e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.18490685e+06,2.20640338e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.43844989e+06,2.06716149e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.74624535e+06,1.91365403e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.11990202e+06,1.72608075e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.57351270e+06,1.51556861e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.12418571e+06,1.29907607e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.79269019e+06,1.08002405e-25
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.60423938e+06,8.75541300e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,5.58944158e+06,6.95041426e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,6.78545457e+06,5.42851844e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,8.23738707e+06,4.19116001e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.00000000e+07,3.21007955e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.00000000e-01,2.37895154e-30
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.21397719e-01,3.77494580e-30
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.47374062e-01,6.13469129e-30
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.78908749e-01,1.02080345e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.17191140e-01,1.72689488e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.63665090e-01,2.95790040e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.20083405e-01,5.12032794e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.88573952e-01,8.99686268e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.71719914e-01,1.59861284e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.72657215e-01,2.87127398e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.95192796e-01,5.19419344e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,8.43948197e-01,9.42675409e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.02453386e+00,1.71059773e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.24376073e+00,3.09052505e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.50989716e+00,5.52862583e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.83298071e+00,9.73568385e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.22519677e+00,1.67484100e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.70133812e+00,2.75800524e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.27936286e+00,4.32607965e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.98107171e+00,6.39757445e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.83293024e+00,8.92844230e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.86706707e+00,1.18623331e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,7.12248558e+00,1.51081963e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,8.64653503e+00,1.77584537e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.04966963e+01,1.96036833e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.27427499e+01,2.34157164e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.54694077e+01,2.84027934e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.87795080e+01,3.33502236e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.27978944e+01,3.92905043e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.76761237e+01,4.59555085e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.35981829e+01,5.32995865e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.07874276e+01,6.14246998e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.95150067e+01,6.96980397e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.01100886e+01,7.68697287e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,7.29722764e+01,8.41932782e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,8.85866790e+01,9.17111440e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.07542208e+02,9.84941037e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.30553787e+02,1.05425261e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.58489319e+02,1.12384684e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.92402418e+02,1.19638524e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.33572147e+02,1.27237011e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.83551258e+02,1.33103421e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.44224760e+02,1.40351025e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.17881006e+02,1.48310695e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.07298009e+02,1.55767224e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.15848211e+02,1.63327615e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,7.47625680e+02,1.71487976e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,9.07600522e+02,1.80169912e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.10180633e+03,1.88993444e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.33756775e+03,1.98422815e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.62377674e+03,2.07952793e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.97122792e+03,2.17558350e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.39302573e+03,2.26812296e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.90507865e+03,2.34332398e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.52669921e+03,2.40000662e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.28133240e+03,2.43296409e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.19743987e+03,2.43406548e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.30957344e+03,2.40163782e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,7.65967823e+03,2.33920428e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,9.29867465e+03,2.24065103e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.12883789e+04,2.10572212e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.37038345e+04,1.93519732e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.66361425e+04,1.74056322e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.01958975e+04,1.53613612e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.45173589e+04,1.32508390e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.97635144e+04,1.10157169e-24
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.61322276e+04,8.72403255e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.38637001e+04,6.24926930e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.32495313e+04,3.81813471e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.46437163e+04,2.71076951e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,7.84759970e+04,1.96016941e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,9.52680703e+04,1.37798466e-25
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.15653264e+05,9.48429934e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.40400425e+05,6.44498941e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.70442913e+05,4.35338397e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.06913808e+05,2.93549233e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.51188643e+05,1.98099996e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.04937283e+05,1.34035672e-26
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.70186906e+05,9.10213974e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.49398459e+05,6.19636965e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.45559478e+05,4.23853796e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.62296762e+05,2.91512717e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,8.04013161e+05,2.01183688e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,9.76053637e+05,1.39424295e-27
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.18490685e+06,9.71242858e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.43844989e+06,6.79984929e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.74624535e+06,4.77374153e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.11990202e+06,3.35973438e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,2.57351270e+06,2.37056561e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.12418571e+06,1.67963028e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,3.79269019e+06,1.19782475e-28
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,4.60423938e+06,8.60077781e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,5.58944158e+06,6.19515533e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,6.78545457e+06,4.47206048e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,8.23738707e+06,3.23632799e-29
ISM continuous jumps,fullhide_1d,Rband,4.60000000e+14,1.00000000e+07,2.34833498e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.00000000e-01,1.83460489e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.21397719e-01,2.90270270e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.47374062e-01,4.70682630e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.78908749e-01,7.81890935e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.17191140e-01,1.32096728e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.63665090e-01,2.25984109e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.20083405e-01,3.90665378e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.88573952e-01,6.85247477e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.71719914e-01,1.21480572e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.72657215e-01,2.17529227e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.95192796e-01,3.91959302e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,8.43948197e-01,7.07782662e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.02453386e+00,1.27628113e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.24376073e+00,2.28783677e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.50989716e+00,4.05311878e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.83298071e+00,7.05133766e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.22519677e+00,1.19452583e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.70133812e+00,1.93109918e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.27936286e+00,2.96271480e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.98107171e+00,4.27304880e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.83293024e+00,5.79795142e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.86706707e+00,7.47261452e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,7.12248558e+00,9.21874516e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,8.64653503e+00,1.04672098e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.04966963e+01,1.12694753e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.27427499e+01,1.31919921e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.54694077e+01,1.53278304e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.87795080e+01,1.69416731e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.27978944e+01,1.87356203e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.76761237e+01,2.04343470e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.35981829e+01,2.19664472e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.07874276e+01,2.34761692e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.95150067e+01,2.45556180e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.01100886e+01,2.46184894e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,7.29722764e+01,2.44891646e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,8.85866790e+01,2.39800927e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.07542208e+02,2.28689225e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.30553787e+02,2.13997854e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.58489319e+02,1.96841158e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.92402418e+02,1.78285136e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.33572147e+02,1.57750101e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.83551258e+02,1.34833148e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.44224760e+02,1.15379072e-24
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.17881006e+02,9.84549893e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.07298009e+02,8.26125594e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.15848211e+02,6.84186397e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,7.47625680e+02,5.63701669e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,9.07600522e+02,4.62282642e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.10180633e+03,3.75796951e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.33756775e+03,3.06207514e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.62377674e+03,2.48525538e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.97122792e+03,2.01371409e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.39302573e+03,1.63481113e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.90507865e+03,1.32415516e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.52669921e+03,1.07114144e-25
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.28133240e+03,8.65393779e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.19743987e+03,6.97242956e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.30957344e+03,5.61421375e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,7.65967823e+03,4.53714917e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,9.29867465e+03,3.66650191e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.12883789e+04,2.94736761e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.37038345e+04,2.34561916e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.66361425e+04,1.85039425e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.01958975e+04,1.43832697e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.45173589e+04,1.09686958e-26
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.97635144e+04,8.13918275e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.61322276e+04,5.83306304e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.38637001e+04,3.72838691e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.32495313e+04,1.96210416e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.46437163e+04,1.35051454e-27
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,7.84759970e+04,9.77649326e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,9.52680703e+04,6.93050615e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.15653264e+05,4.80788518e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.40400425e+05,3.27470050e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.70442913e+05,2.20074047e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.06913808e+05,1.46555744e-28
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.51188643e+05,9.72040383e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.04937283e+05,6.44101727e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.70186906e+05,4.27466114e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,4.49398459e+05,2.83976959e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,5.45559478e+05,1.89299772e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,6.62296762e+05,1.26600069e-29
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,8.04013161e+05,8.48842793e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,9.76053637e+05,5.71203681e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.18490685e+06,3.86234373e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.43844989e+06,2.62605231e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,1.74624535e+06,1.79000639e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.11990202e+06,1.22264594e-30
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,2.57351270e+06,8.36181305e-31
ISM continuous jumps,fullhide_1d,1keV,2.41798900e+17,3.12418571e+06,5.73993165e-31
